ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount,pe,pb
603610.SH,20210907,麒盛科技,家居用品,主板,19.30,21.10,21.10,19.09,19.18,1.92,10.01,5.55,6.43,21.61,1.98,187206.97,20191029
000983.SZ,20210907,山西焦煤,煤炭开采,主板,12.71,13.85,13.85,12.71,12.59,1.26,10.01,3.66,0.95,29.00,2.75,2020078.94,20000726
600810.SH,20210907,神马股份,化纤,主板,15.64,17.15,17.15,15.46,15.59,1.56,10.01,7.24,1.11,42.55,2.54,688487.60,19940106
605006.SH,20210907,山东玻纤,玻璃,主板,16.57,18.03,18.03,16.51,16.39,1.64,10.01,18.68,1.22,52.30,4.43,326328.96,20200903
002214.SZ,20210907,大立科技,电器仪表,中小板,22.96,24.74,24.74,22.72,22.49,2.25,10.00,5.78,2.02,37.97,5.67,677526.70,20080218
603393.SH,20210907,新天然气,供气供热,主板,30.20,32.55,32.55,29.19,29.59,2.96,10.00,12.82,1.74,34.10,3.68,1524936.75,20160912
603897.SH,20210907,长城科技,电气设备,主板,44.43,46.30,46.30,44.20,42.09,4.21,10.00,1.96,0.54,48.36,3.91,163451.20,20180410
603026.SH,20210907,石大胜华,化工原料,主板,269.47,293.33,293.33,266.68,266.66,26.67,10.00,3.48,0.95,228.85,23.52,2000492.75,20150529
600888.SH,20210907,新疆众和,铝,主板,9.90,10.78,10.78,9.67,9.80,0.98,10.00,9.18,1.04,40.71,2.30,1191194.44,19960215
600116.SH,20210907,三峡水利,水力发电,主板,10.75,11.77,11.77,10.72,10.70,1.07,10.00,4.85,1.21,36.30,2.15,761687.17,19970804
000520.SZ,20210907,长航凤凰,水运,主板,3.40,3.74,3.74,3.40,3.40,0.34,10.00,2.60,2.73,359.50,8.32,96766.73,19931025
000537.SZ,20210907,广宇发展,区域地产,主板,5.83,5.83,5.83,5.83,5.30,0.53,10.00,0.15,0.49,4.91,0.69,15387.69,19931210
000688.SZ,20210907,国城矿业,铅锌,主板,13.64,15.07,15.07,13.48,13.70,1.37,10.00,3.62,1.26,116.47,7.17,598389.07,19970120
000708.SZ,20210907,中信特钢,特种钢,主板,24.37,26.73,26.73,24.37,24.30,2.43,10.00,1.16,1.36,22.39,4.64,378653.40,19970326
000829.SZ,20210907,天音控股,其他商业,主板,24.30,26.29,26.29,24.15,23.90,2.39,10.00,4.71,0.86,144.82,10.77,1227634.82,19971202
000898.SZ,20210907,鞍钢股份,普钢,主板,5.61,6.16,6.16,5.60,5.60,0.56,10.00,2.91,1.42,29.29,1.00,1402193.11,19971225
002079.SZ,20210907,苏州固锝,半导体,中小板,17.00,18.70,18.70,16.85,17.00,1.70,10.00,13.05,0.95,167.16,6.60,1714791.17,20061116
